product,quantity,sales_price
40255,250,207
40200,201,35
39733,395,88
39689,795,35
39256,202,79
39256,557,85
39256,230,79
39256,205,79
39165,300,89
38935,251,55
38819,807,69
38745,288,68
38745,319,68
38745,401,89
38745,276,89
38744,353,75
38744,230,75
38543,365,158
38207,321,75
38204,224,100
37972,334,29
37496,267,99
37299,337,95
37165,427,30
37165,211,30
37140,262,108
37140,242,80
36940,1450,10
36940,476,9
36940,513,10
36940,215,12
36897,783,11
36885,229,45
36857,231,24
36718,278,80
36447,309,285
36447,315,283
36447,258,285
36417,354,55
36417,324,55
36401,242,69
36147,609,59
36112,342,49
36112,746,101
35769,279,72
35517,267,55
35517,395,55
35494,842,88
35494,254,44
35473,212,239
35453,403,109
35271,387,39
35130,332,105
35089,251,32
34729,412,139
34465,274,75
34438,262,69
34438,277,35
34438,458,69
34422,209,145
34309,283,45
34259,206,110
34230,219,55
34087,587,155
33955,328,19
33937,227,189
33937,231,189
33846,210,153
33545,660,95
33188,216,32
33176,264,69
33176,297,109
32818,212,87
32763,219,30
32585,239,50
32427,804,39
32427,202,33
32209,255,74
32209,503,69
32209,278,72
32209,323,72
32028,338,120
32024,387,54
32024,242,54
32024,222,54
31891,246,29
31815,254,100
31718,234,139
31307,218,45
31248,582,105
31248,293,85
31248,220,105
31248,316,105
31248,216,88
31144,252,285
31114,366,89
31007,203,30
31007,226,31
30718,203,76
30714,283,124
30714,305,123
30714,257,112
30711,325,69
30656,469,69
30418,421,78
30418,469,78
30418,258,78
30394,860,49
30202,214,64
29919,213,132
29919,280,198
29802,416,118
29772,228,384
29772,221,396
29715,238,99
29715,255,99
29580,491,59
29507,206,72
29445,651,75
29445,229,75
29279,302,239
29279,202,179
29279,273,199
29212,264,39
29212,646,75
29189,335,13
29189,373,13
29189,224,14
29189,510,13
29189,227,14
29189,240,14
28971,343,55
28840,512,66
28840,205,66
28783,274,124
28759,467,11
28738,323,95
28276,348,119
28250,230,79
28241,220,83
28155,206,39
28147,302,72
28147,214,64
28134,246,39
27954,272,28
27947,306,48
27748,377,69
27748,225,76
27748,230,76
27748,252,69
27748,595,76
27748,247,74
27748,205,76
27043,212,64
26811,240,199
26399,260,80
26045,380,179
26045,590,189
25935,498,78
25811,406,95
25565,363,130
25534,310,119
25230,396,86
25230,273,79
25146,204,49
25078,360,66
24904,460,49
24878,234,49
24767,238,77
24181,221,80
24078,526,6
24048,247,33
24048,238,33
24048,245,33
24048,222,35
24048,366,29
24048,229,31
24048,208,32
24048,231,30
24048,516,32
23915,203,33
23687,278,109
23480,244,55
23480,531,45
23397,217,365
23330,252,119
23248,382,99
23197,794,49
23187,226,72
23187,401,67
23187,224,67
23154,306,259
23087,558,88
22552,208,55
22434,219,147
22197,347,88
22197,284,69
22197,394,88
22113,533,70
22113,230,75
21683,265,55
21683,309,55
21526,237,95
21304,344,39
21290,456,75
21290,633,75
21290,291,75
21109,640,45
20955,241,55
20955,274,55
20339,279,65
20339,326,64
20339,585,64
20339,671,64
20339,240,64
20339,525,72
20339,483,65
20339,271,65
20116,274,49
20106,489,49
20062,378,55
20062,461,55
20062,376,55
20062,439,54
20062,270,55
20062,289,55
20062,256,55
19858,316,65
19730,234,76
19730,208,76
19665,477,155
19665,298,136
19606,204,85
19474,255,199
19471,219,59
19447,225,76
19447,302,76
19447,405,76
19447,202,76
19447,467,76
19447,236,75
19447,211,76
19447,218,76
19447,268,76
19447,309,76
19437,318,229
19253,201,75
19151,205,86
19113,288,64
18757,672,39
18558,792,85
18558,227,99
18441,307,39
18404,1109,318
18306,379,178
17982,359,39
17780,302,98
17595,322,64
17386,365,103
17010,535,59
16909,222,88
16826,300,36
16758,379,104
16719,231,71
16577,223,166
16577,243,166
16577,311,166
16305,311,124
16282,309,108
16160,233,27
15679,622,149
15322,412,25
15295,352,79
14677,891,39
14654,826,29
14424,218,89
14424,242,87
14262,207,169
14177,293,88
14100,234,198
13918,204,129
13842,226,295
13481,249,125
13480,237,106
13107,342,74
13071,209,99
13026,285,71
13026,315,65
13026,361,66
13026,266,78
13026,491,66
12931,250,635
12623,418,108
12623,368,148
12623,222,146
12594,615,62
12587,263,84
12561,315,39
12305,356,79
12210,262,75
12117,254,1
11730,203,84
11649,568,39
11481,254,88
11399,352,59
11176,278,156
11001,335,59
11001,324,58
10925,325,30
10747,265,65
10747,248,65
10710,223,65
10484,398,149
10393,459,284
10231,560,128
9994,274,138
9968,214,55
9821,248,18
9821,922,25
9571,255,49
9438,202,92
9420,293,120
9420,231,120
9360,264,88
9012,427,42
8872,211,199
8836,312,75
8836,284,85
8836,517,85
8789,204,18
8789,346,35
8308,562,175
8154,960,25
8154,288,25
8081,371,55
8081,265,55
8022,467,129
7732,300,39
7705,223,149
7705,209,149
7152,216,89
7081,220,198
6825,283,24
6519,812,19
6212,260,126
6111,226,72
6111,272,69
6004,340,189
5999,273,69
5999,238,75
5999,293,69
5999,279,75
5999,474,59
5999,613,75
5999,214,69
5735,231,89
5723,290,88
5670,561,49
5602,217,89
5426,201,76
5426,226,74
5426,255,76
5426,269,69
5426,290,69
5426,547,76
5126,275,145
5126,370,145
5126,390,145
5126,364,145
5083,486,49
5083,528,49
4962,239,88
4962,211,88
4926,647,62
4913,466,69
4741,263,149
4741,333,149
4741,479,139
4741,580,149
4442,240,69
4344,233,58
4304,682,25
4160,226,129
4131,298,104
3995,451,59
3864,224,49
3731,560,199
3628,296,79
3587,320,88
2988,338,29
2919,295,158
2842,204,55
2784,207,35
2623,258,129
2253,343,99
2247,228,165
1993,718,39
1870,404,69
1870,765,69
1829,217,75
1232,300,138
1188,254,99
1180,233,69
1180,250,65
1180,202,59
1180,371,59
1180,207,79
855,366,72
855,316,75
473,304,75
128,353,75
128,245,75
128,210,71
32,384,112
